genes,mod_types,rmgm_id,reference_pubmed1
PBANKA_1140300,disrupted,1,23197789
PBANKA_0524600,disrupted,1,23197789
PBANKA_0710600,disrupted,1,23197789
PBANKA_1365500,disrupted,1,22329949
PBANKA_1126900,mutated,1,22355110
PBANKA_1126900,disrupted,1,22355110
PBANKA_1126900,disrupted,1,22355110
PBANKA_0212100,mutated,1,22355110
PBANKA_0212100,mutated,1,22355110
PBANKA_0510600,disrupted,1,22383885
PBANKA_0518200,disrupted,1,22628552
PBANKA_1358100,disrupted,1,23490234
PBANKA_1134600,disrupted,1,23490234
PBANKA_1031300,disrupted,1,23490234
PBANKA_0933500,disrupted,1,23490234
PBANKA_1114700,disrupted,1,23490234
PBANKA_0520400,disrupted,1,
PBANKA_1436600,disrupted,1,22844474
PBANKA_0407700,disrupted,1,22912579
PBANKA_0403200,mutated,1,22393411
PBANKA_0403200,mutated,1,22393411
PBANKA_0403200,mutated,1,22393411
PBANKA_0314200,mutated,1,22817984
PBANKA_1355700,mutated,1,22817984
PBANKA_1459500,mutated,1,22817984
PBANKA_1437600,mutated,1,22817984
PBANKA_1349800,mutated,1,22911675
PBANKA_1349800,mutated,1,22911675
PBANKA_1349800,mutated,1,22911675
PBANKA_1329500,disrupted,1,22957089
PBANKA_1329500,disrupted,1,23028336
PBANKA_0915600,disrupted,1,23137753
PBANKA_1430800,disrupted,1,23146411
PBANKA_0214400,disrupted,1,23144823
PBANKA_0833000,mutated,1,23245327
PBANKA_1029800,mutated,1,23245327
PBANKA_1003000,disrupted,1,23216750
PBANKA_0714000,disrupted,1,23285059
PBANKA_1137000,disrupted,1,25941254
PBANKA_1433600,disrupted,1,15003842
PBANKA_1410300,disrupted,1,25941254
PBANKA_1310600,disrupted,1,25941254
PBANKA_1034400,disrupted,1,25941254
PBANKA_0932400,disrupted,1,25941254
PBANKA_0931300,disrupted,1,25941254
PBANKA_1460700,disrupted,1,25941254
PBANKA_1002400,disrupted,1,25941254
PBANKA_1318100,disrupted,1,25941254
PBANKA_1309900,disrupted,1,25941254
PBANKA_0833100,disrupted,1,25941254
PBANKA_1321700,disrupted,1,25941254
PBANKA_1034400,disrupted,1,25941254
PBANKA_0932400,disrupted,1,25941254
PBANKA_1040100,disrupted,1,25941254
PBANKA_1127000,disrupted,1,Not published (yet)
PBANKA_0923700,disrupted,1,Not published (yet)
PBANKA_0308000,disrupted,1,Not published (yet)
PBANKA_1409100,disrupted,1,24498355
PBANKA_1354100,disrupted,1,Not published (yet)
PBANKA_1319100,disrupted,1,25941254
PBANKA_0926700,disrupted,1,Not published (yet)
PBANKA_1230700,disrupted,1,Not published (yet)
PBANKA_0208900,disrupted,1,Not published (yet)
